RACE,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,SETTING,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE,LIKES / DISLIKES
,,,,,,HERALD,INN,,PRINCIPLED,,MESSY,LIAR,GARDENING
,,,,,,LEAFLET DISTRIBUTOR,ISLAND,,PROFOUND,,MISERABLE,LITTLE GREEN MEN,GARDENS/TOPIARIES
,,,,,,MANAGING DIRECTOR,JAIL,,PROTEAN,,MISERLY,LIVING LEGEND,GENEALOGY
,,,,,,NAVIGATOR,JUNKYARD,,PROTECTIVE,,MISGUIDED,LOATHLY LADY,GLASS BLOWING
,,,,,,PILOT,KEEP,,PROVIDENTIAL,,MISTAKEN,LOGICIAN,GLITTER
,,,,,,BLOOD HUNTER/MONSTER HUNTER,KREMLIN,,PRUDENT,,MONEY-MINDED,LONER,GLOWSTICKS
,,,,,,PALADIN,LABYRINTH,,PURPOSEFUL,,MONSTROUS,LOOSE CANNON/CROOKED COP,GO 
,,,,,,TAXONOMIST,"LIBRARY (+ ARCANE, GREAT, ROYAL)",,PUNCTUAL,,MOODY,LOVABLE LOSER,GOSSIP
,,,,,,PARAMEDIC,LIFT (WENCH & PLATFORM),,RATIONAL,,MORBID,LOVABLE PERVERT,GREED
,,,,,,ENGINEER,LIGHTHOUSE,,REALISTIC,,MUDDLE-HEADED,LOVE INTEREST,GYMNASTICS
,,,,,,PILGRIM,"LOCK, LOCKS (WATERWAY)",,REFLECTIVE,,NAIVE,LOVERS,GYOTAKU
,,,,,,TACTICIAN,"LODGE (+ HUNTING, MASONS, MEDICINE, PORTERS, SAFARI, SECRET SOCIETY*, SWEAT, WARDENS)",,RELAXED,,NARCISSISTIC,MACHO ACTION GUY,HAIL
,,,,,,COMMUNITY WORKER,LOST CITY,,RELIABLE,,NARROW,MAD SCIENTIST,HAIR COLORING
,,,,,,CONSERVATIONIST,LUMBERYARD,,RESOURCEFUL,,NARROW-MINDED,MAGICIAN/MAGE/SHAMAN,HAIR SALONS
,,,,,,FOOTBALLER,"MAGICAL CONSTRUCT (ENERGY CONSTRUCT, GIANT LEVITATING CRYSTAL, MOVING SCULPTURE, RUNE STONES, SIGIL STONES)",,RESPECTFUL,,NATTY,MAIDEN,HAIR STYLING
,,,,,,ARRANGER,MALL,,RESPONSIBLE,,NEGATIVISTIC,MALE BUFFOON,HANG GLIDING
,,,,,,CASUAL WORKER,MANOR,,RESPONSIVE,,NEGLECTFUL,MALEWIFE,HANGNAILS
,,,,,,STUDENT,MARINA,,REVERENTIAL,,NEUROTIC,MALEWIFE,HARDWOOD/CARPET FLOORS
,,,,,,CUTPURSE,"MARKER STONE (BORDER STONE, BOUNDARY STONE)",,ROMANTIC,,NIHILISTIC,MAN ALONE,HATRED
,,,,,,TINKER,"MARKET, MARKET PLACE, MARKET SQUARE",,RUSTIC,,OBNOXIOUS,MANIC PIXIE DREAM GIRL,HATS
,,,,,,GAMBLER,MATTERHORN,,SAGE,,OBSESSIVE,MARTYR,HAUNTED HOUSES
,,,,,,CLERICAL ASSISTANT,MAUSOLEUM,,SANE,,OBVIOUS,MARY SUE,HAZING
,,,,,,THRESHER,MEAD HALL,,SCHOLARLY,,ODD,MASKED SUPERHERO,HEADACHES
,,,,,,BUSKER/STREET MUSICIAN,MEADOW,,SCRUPULOUS,,OFFHAND,MASOCHIST,HEADPHONES
,,,,,,SPEECH THERAPIST,MECCA,,SECURE,,ONE-DIMENSIONAL,MAVERICK,HEAT AND HUMIDITY
,,,,,,CORONER,MEETING HOUSE,,SELF-CRITICAL,,ONE-SIDED,MEAN POPULAR GIRL,HEIGHTS
,,,,,,ACCOUCHEUR/OBSTETRICIAN/MIDWIFE,MEMORIAL,,SELF-DEFACING,,OPINIONATED,MENTOR,HEROES
,,,,,,ENTOMOLOGIST,METEOR CRATER,,SELF-DENYING,,OPPORTUNISTIC,MESSENGER,HICCUPS
,,,,,,AUCTIONEER,MEWS (ROW OR COURTYARD OF STABLES AND CARRIAGE HOUSES WITH LIVING QUARTERS ABOVE THEM),,SELF-RELIANT,,OPPRESSED,MESSIAH,HIDING
,,,,,,GLASSWORKER,"MIDDEN (+ HEAP, MOUND, PILE)",,SELF-SUFFICIENT,,OUTRAGEOUS,MIDDLE CHILD,HIKING
,,,,,,CRIME,MILL,,SELFLESS,,OVER IMAGINATIVE,MILKMAN,HILLS
,,,,,,BAILIFF,MINARET,,SENSITIVE,,PARANOID,MILTONIC HERO,HOLIDAYS
,,,,,,STUNTMAN/STUNTWOMAN,"MINE, MINES (COAL, CRYSTAL [NORMAL, MAGIC], GEM STONE [NORMAL, MAGIC], GUANO, METAL [NORMAL, MAGIC], MINERAL [NORMAL, MAGIC], SALT, SUBSTANCE)",,SENTIMENTAL,,PASSIVE,MOMMA’S BOY,HOMEWORK
,,,,,,SEXTON,"MOAT (+ DRY, LAVA, MUD, QUICKSAND, SPIKED, TAR, WATER)",,SERAPHIC,,PEDANTIC,MONK,HOODIES
,,,,,,DELIVERY DRIVER,MONASTERY,,SERIOUS,,PERVERSE,MONSTER,HORSE RIDING
,,,,,,BAGNIO KEEPER,MONOLITH,,SEXY,,PETTY,MOTHER-IN-LAW,HOSPITALS
,,,,,,LUMBERJACK,MONUMENT,,SHARING,,PHARISAICAL,MOTHER'S BOY,HOT AIR BALLOONS
,,,,,,ENTREPRENEUR,MOSQUE,,SHREWD,,PHLEGMATIC,MOTHER/MATRIARCH,HOT BATHS
,,,,,,FORESTER,"MOUND (+ BURIAL, CEREMONIAL, MIDDEN, SHELL, TEMPLE)",,SIMPLE,,PLODDING,MYTHOLOGICAL KING,HUNTING
,,,,,,MARKSMAN/ARCHER,MUSEUM,,SKILLFUL,,POMPOUS,NAPOLEONIC VILLAIN,ICE CREAM
,,,,,,THEATER DIRECTOR,NO MAN'S LAND,,SOBER,,POSSESSIVE,NARRATOR,ICE SCULPTURES
,,,,,,MERCHANT,"NUNNERY, CONVENT",,SOCIABLE,,POWER-HUNGRY,NATURE LOVER,IMPROV
,,,,,,OSTEOPATH,NURSERY,,SOLID,,PREDATORY,NEMESIS,INCENSE
,,,,,,GROCER,OASIS,,SOPHISTICATED,,PREJUDICED,NERD,INSTANT COFFEE
,,,,,,ADVENTURER,OBELISK,,SPONTANEOUS,,PRESUMPTUOUS,NICE GUY,INTERIOR DECORATING AND DESIGN
,,,,,,ADVERTISING EXECUTIVE,OBSERVATION TOWER,,SPORTING,,PRETENTIOUS,NOBLE SAVAGE,INVENTING
,,,,,,BUILDING LABOURER,OBSERVATORY,,STABLE,,PRIM,NON-CONFORMIST,ITCHY SKIN
,,,,,,COMPOSER,OCEAN FLOOR,,STEADFAST,,PROCRASTINATING,OUT-OF-TOWNER,JAZZ MUSIC
,,,,,,HEALTH VISITOR,OPERA HALL / OPERA HOUSE,,STEADY,,PROFLIGATE,OUTCAST,JEWELRY
,,,,,,PLUMER,OPIUM DEN,,STOIC,,PROVOCATIVE,OUTLAW,JIGSAW PUZZLES
,,,,,,MARQUESS/MARCHIONESS,ORCHARD,,STRONG,,PUGNACIOUS,OVERLY PATIENT WIFE,JOURNALING
,,,,,,ZOOKEEPER,ORPHANAGE,,STUDIOUS,,PURITANICAL,PARANOID CONSPIRACY THEORIST,JUDGMENT
,,,,,,TAXI DRIVER,OUTPOST,,SUAVE,,QUIRKY,PATRIARCH,JUGGLING
,,,,,,POACHER,PADDOCK,,SUBTLE,,REACTIONARY,PEACEMAKER,JUMP ROPE
,,,,,,CEMETERY WORKER,PALACE,,SWEET,,REACTIVE,PERFECTIONIST,JUMP SCARES
,,,,,,CRAFTSPERSON,"PARADE GROUNDS, TRAINING GROUNDS",,SYMPATHETIC,,REGIMENTAL,PERPETUAL TRAVELER,JUMPING
,,,,,,PEST CONTROLLER,PARK,,SYSTEMATIC,,REGRETFUL,PETRUSHKA,KEEPING JOURNALS/DIARIES
,,,,,,DYER,"PARLOR, PARLOUR (DRUG, MASSAGE, TATTOO)",,TASTEFUL,,REPENTANT,PHILOSOPHER,KETCHUP
,,,,,,MORTICIAN,PAWNSHOP,,TEACHERLY,,REPRESSED,PIERROT,KITES
,,,,,,KNIGHT,PHARMACY,,THOROUGH,,RESENTFUL,PINNING FRIEND,KNICK-KNACKS
,,,,,,BARD,PIER,,TIDY,,RIDICULOUS,PIRATE,KNIFE THROWING
,,,,,,PURSER,"PILLAR, PILLARS",,TOLERANT,,RIGID,PREDATOR,LAKES AND LAKESHORES
,,,,,,DENTIST,PIRATE SHIP,,TRACTABLE,,RITUALISTIC,PREPPY,LANDSCAPING
,,,,,,FOLK HERO,"PIT (+ DWELLING, FIGHTING, MONSTER, PRISON, SLAVE)",,TRUSTING,,ROWDY,PREY,LARGE GROUPS
,,,,,,CAR WASH ATTENDANT,PLANTATION,,UNCOMPLAINING,,RUINED,PRINCE CHARMING,LARP
,,,,,,KIDNAPPER,PLAYGROUND,,UNDERSTANDING,,SADISTIC,PRINCE ON A WHITE HORSE,LATE NIGHTS
,,,,,,LONGSHOREMAN,PLAZZA,,UNDOGMATIC,,SANCTIMONIOUS,PRINCESSE LOINTAINE,LAUGHTER
,,,,,,SCAFFOLDER,PORT,,UNFOOLABLE,,SCHEMING,PSYCHO-BIDDY,LEARNING
,,,,,,SCHOOL CROSSING WARDEN,PRISON,,UPRIGHT,,SCORNFUL,PSYCHOPATH,LEARNING LANGUAGES
,,,,,,HEALTHCARE ASSISTANT,PUB,,URBANE,,SECRETIVE,PUPPETEER,LEATHER
,,,,,,HEAD HUNTER,PUBLIC GARDEN,,VENTURESOME,,SEDENTARY,RAGS TO RICHES,LIBRARIES
,,,,,,FERRYMAN,PUBLIC SQUARE,,VIVACIOUS,,SELF-INDULGENT,RAW RECRUIT,LIGHT BEER
,,,,,,ABBOT/ABBESS,PYRAMID,,WARM,,SELFISH,REBEL,LIGHTNING
,,,,,,CAR DEALER,PYRE (+ FUNERAL),,WELL-BRED,,SHALLOW,REDNECK,LIMA BEANS
,,,,,,SHOE REPAIRER,"QUARRY (CRYSTAL, MAGIC CRYSTAL, METAL, MINERAL, STONE, SUBSTANCE)",,WELL-READ,,SHORTSIGHTED,REDSHIRT,LIVE MUSIC
,,,,,,HOUSEWIFE/HOUSEHUSBAND,RAINFOREST,,WELL-ROUNDED,,SHY,RELUCTANT HERO,LOCK PICKING
,,,,,,SECRETARY,"RANCH (ANIMAL, MONSTER)",,WINNING,,SILLY,RELUCTANT/UNWILLING MONSTER,"LOOSE, OVERSIZED CLOTHING"
,,,,,,COMPUTER ANALYST,,,WISE,,SINGLE-MINDED,RICH WOMAN,LOUD NOISES
,,,,,,WITCHDOCTOR,ROOT CELLAR,,WITTY,,SLOPPY,RIGHTFUL HEIR,LUKEWARM BEER
,,,,,,CHANDLER,,,YOUTHFUL,,SLOW,RIGHTFUL KING,LUKEWARM COFFEE
,,,,,,LAND SURVEYOR,RUINS,,,,SLY,ROBIN HOOD,LYING
,,,,,,EXPLORER,RUNE STONE,,,,SMALL-THINKING,ROMANTIC RUNNER-UP,MAGIC
,,,,,,JAILER,SALOON,,,,SOFT HEADED,ROYAL USURPER,MAKEOVERS
,,,,,,BOOKBINDER,SANCTUARY,,,,SORDID,SAVANT,MAKEUP
,,,,,,LINGUIST,SAUNA,,,,STEELY,SCAPEGOAT,MALICE
,,,,,,RESEARCHER,SAWMILL,,,,STIFF,SCHOOLMA'AM,MANICURE
,,,,,,JEWELLERY MAKER,SCHOOL,,,,STRONG-WILLED,SCROOGE,MANNEQUINS
,,,,,,TELEPHONIST,"SCULPTURE (+ LARGE, GIANT, GARDEN, SCALE CITY MODEL)",,,,STUPID,SECRETIVE,MAP MAKING
,,,,,,PROPERTY DEVELOPER,SEA GATE,,,,SUBMISSIVE,SENEX AMANS,MARTIAL ARTS
,,,,,,ASTRONOMER,SEA WALL,,,,SUPERFICIAL,SENEX IRATUS,MASSAGES
,,,,,,REPORTER,"SEWER, SEWERS",,,,SUPERSTITIOUS,SERVANT/SLAVE,"MATH, SCIENCE, HISTORY, ETC."
,,,,,,WEAPONSMITH,SHACK,,,,SUSPICIOUS,SEXY GRANDMA,MATHEMATICS
,,,,,,TOILET ATTENDANT,SHANTY TOWN,,,,TACTLESS,SHAPESHIFTER,MAZES
,,,,,,LAP DANCER,SHELTER,,,,TASTELESS,SHREW,MEDITATION
,,,,,,ZOOLOGIST,SHIP GRAVEYARD,,,,TENSE,SICKLY,MESS
,,,,,,CAVALRYMAN/CAVALIER,SHIPWRECK,,,,THIEVISH,SIDEKICK,METALWORKING
,,,,,,TOLLKEEPER,"SHIPYARD, SHIPYARDS",,,,THOUGHTLESS,SINNEKINS,METEOROLOGY
,,,,,,MARKETING DIRECTOR,"SHRINE (DEITY, DRUIDIC, ELEMENT, POWER, ENVIRONMENT, GUARDIAN, LUCK, MAGIC, OLD ONE, OUTSIDER, SPIRIT, ETC)",,,,TIMID,SISSY,MICROSCOPY
,,,,,,AIR TRAFFIC CONTROLLER,SIEGE TOWER,,,,TRANSPARENT,SKEPTIC,MIST/FOG
,,,,,,ANTIQUE DEALER,"SITE (+ BUILDING, CAMP, CONSTRUCTION, DIG, EXCAVATION, GRAVE, RITUAL)",,,,TREACHEROUS,SLEAZY LAWYER,MIXING DRINKS
,,,,,,CHILDMINDER,SKYSCRAPER,,,,TRENDY,SLEAZY POLITICIAN,MIXOLOGY (COCKTAILS)
,,,,,,BOWYER,SLAUGHTER HOUSE,,,,TROUBLESOME,SLOW BURN,MODELING
,,,,,,RAIDER/MARAUDER,SLUMS,,,,UNAPPRECIATIVE,SOUBRETTE,MONEY
,,,,,,EXTERMINATOR,SMITHY,,,,UNCARING,SOUTHERN BELLE,MOSHING
,,,,,,FARRIER,"SPARRING HALL, DOJO, TRAINING HALL",,,,UNCHARITABLE,SPEAR CARRIER,MOUNTAINS
,,,,,,PICKPOCKET,"SQUARE (+ MARKET, PUBLIC, TOWN)",,,,UNCONVINCING,STAND-IN PARENT/ROLE MODEL,MOVIES
,,,,,,HAIR STYLIST,STABLES,,,,UNCOOPERATIVE,STAR-CROSSED LOVERS,MULTITASKING
,,,,,,FOSTER PARENT,STADIUM,,,,UNCREATIVE,STARVING ARTIST,MUSEUMS
,,,,,,BUS DRIVER,"STATUE (IDOL, LARGE, GIANT, GUARDIAN, MONUMENT)",,,,UNCRITICAL,STRAIGHT MAN,MUSHROOMS
,,,,,,BUSINESS OWNER,STOCKADE,,,,UNCTUOUS,STUDENT,MUSIC
,,,,,,FUNERAL DIRECTOR,STOCKYARD,,,,UNDISCIPLINED,STUPID MUSCLE,MYTHOLOGY
,,,,,,DRAPER,STONEHENGE,,,,UNFRIENDLY,SUPER SOLDIER,NAIL ART
,,,,,,SEER/ORACLE,"STOREHOUSE, WAREHOUSE",,,,UNGRATEFUL,SUPERFLUOUS MAN,NAPPING
,,,,,,DEAN,"STREET VENDORS ( ALCOVE, BOOTH, CART, STALL, STAND, TENT)",,,,UNHEALTHY,SUPERHERO,NATURAL DISASTERS
,,,,,,PREACHER,STRONGHOLD,,,,UNIMAGINATIVE,SUPERSOLDIER,NATURE
,,,,,,NUN,"SUNKEN (CITY, RUINS, SHIP, TEMPLE)",,,,UNIMPRESSIVE,SUPERVILLAIN,NECROMANCY
,,,,,,ROPEMAKER,SUPPLY POST,,,,UNLOVABLE,SURFER,NEEDLES
,,,,,,LOCKSMITH,SWAMP,,,,UNPOLISHED,SURPRISE GENIUS,NEW THINGS
,,,,,,MISSIONARY,SWEAT SHOP,,,,UNPRINCIPLED,SURVIVALIST,NON-FICTION
,,,,,,HOME-WORKER,TAILOR,,,,UNREALISTIC,SURVIVOR,NUMBERS
,,,,,,UNDERTAKER,TAPHOUSE (INN / TAVERN WITH LIQUOR ON TAP),,,,UNREFLECTIVE,SWASHBUCKLER,NUMEROLOGY
,,,,,,GONG FARMER,TAVERN,,,,UNRELIABLE,THRILL-SEEKER,OBSCURE TRIVIA
,,,,,,HUNTER,TEA HOUSE,,,,UNRESTRAINED,THUG,ONLINE GAMES
,,,,,,DUELIST,TEAROOM,,,,UNSELF-CRITICAL,TIGER MOM,OPEN MEADOWS
,,,,,,SPECIAL CONSTABLE,TEMPLE,,,,UNSTABLE,TOMBOY,OPEN SPACES
,,,,,,HEATING ENGINEER,"TENT CITY (+ MERCHANT, MILITARY, NOMADS, PILGRIMS, REFUGEE, SETTLERS, SQUATTERS)",,,,VACUOUS,TORTURED ARTIST,OPEN WINDOWS
,,,,,,COURTIER,TOMB,,,,VAGUE,TORTURED SUPERHERO,OPPRESSION
,,,,,,PICTURE FRAMER,TOTEM POLE,,,,VENAL,TOWN DRUNK,ORGANIZATION
,,,,,,LAPIDARY,"TOWER (+ BELL, CHAIN, CLOCK, GUARD, PEEL, SIEGE, SIGNAL, WATCH, WIZARD)",,,,VENOMOUS,TRADITIONALIST,ORIGAMI
,,,,,,POET,TOWER BRIDGE,,,,VINDICTIVE,TRAGIC HERO,PAINTBALL
,,,,,,SCRIBE,TOWN,,,,VULNERABLE,TRICKSTER,PAINTING
,,,,,,PHILOSOPHER,TOWN HALL,,,,WEAK,TRICKY SLAVE,PALEONTOLOGY
,,,,,,ART HISTORIAN,TRADE ROUTE,,,,WEAK-WILLED,TROUBLED TEENAGER,"PAPERCRAFTING (KEEPSAKE CARDS, ETC)"
,,,,,,RADIO PRESENTER,TRADING POST,,,,WELL-MEANING,TROUBLED VET,PAPERWORK
,,,,,,PEDDLER,TRAIN,,,,WILLFUL,TRUSTY SIDEKICK,PARKOUR
,,,,,,METEOROLOGIST,"TRAINING GROUNDS, PARADE GROUNDS",,,,WISHFUL,TRUTH SEEKER,PEDICURE
,,,,,,GROOM,"TRAINING HALL, DOJO, SPARRING HALL",,,,ZANY,TSUNDERE,PEEPS
,,,,,,CAREERS ADVISOR,TREE HOUSE,,,,,TURNCOAT,PHILOSOPHY
,,,,,,CANDLEMAKER,TREE TOWN,,,,,TYRANT,PHOTOGRAPHY
,,,,,,LORD,TUNNEL,,,,,UNDERLING/HENCHMAN,"PIERCINGS (EARS, NOSE, NAVEL, ETC)"
,,,,,,MINSTREL,"UNIVERSITY (+ ALCHEMIST, ARCANE, ARTIFICER’S, BARDS, HEALERS, MAGES, NAVAL, OF SCIENCE, ROYAL)",,,,,UNFORTUNATE ORPHAN,PINE CONES
,,,,,,TRADESMAN,VAULT,,,,,UNKNOWN THREAT,PIRATES
,,,,,,PROP MAKER,VILLA (LARGE COUNTRY HOUSE / ESTATE),,,,,UNLIKELY HERO,PLANES
,,,,,,CALLIGRAPHIST,VILLAGE,,,,,UNSEEN CHARACTER,PLANNING AND MAKING LISTS
,,,,,,POP STAR,VINEYARD,,,,,VICE,PLAYS / STAGE PRODUCTIONS
,,,,,,CHIMNEY SWEEP,"WAREHOUSE, STOREHOUSE",,,,,VIGILANTE,POCKET WATCHES
,,,,,,SOUL REAPER,WATCH TOWER,,,,,VILLAGE IDIOT,PODCASTS
,,,,,,MAGICIAN,WATER MILL,,,,,VILLAIN,POEMS
,,,,,,STEWARD,WATERFALL,,,,,VISIONARY,POI (PERFORMANCE ART)
,,,,,,FINANCIAL ADVISOR,"WELL (+ ARTESIAN, COVERED, DRY, HOUSE, OF MAGIC, WATER)",,,,,WANNABE HERO,POLITICS
,,,,,,DETECTIVE/INVESTIGATOR,WELL HOUSE,,,,,WARRIOR,POP MUSIC
,,,,,,ARCHAEOLOGIST,WHARF,,,,,WELL-INTENTIONED EXTREMIST,PORCELAIN DOLLS
,,,,,,EXECUTIONER,WINDMILL,,,,,WHISKEY PRIEST,POSTAGE STAMPS
,,,,,,GEOLOGIST,WINERY,,,,,WICKED STEPMOTHER,POSTCARDS
,,,,,,TRAINER,WORK CAMP,,,,,WICKED WITCH,POSTERS
,,,,,,GAMEKEEPER,"YURT (ROUND TENT COVERED IN SKINS OR FELT, USED BY NOMADS)",,,,,WIMP,POTTED PLANTS
,,,,,,CHARLATAN/CONMAN,"ZOO (MUNDANE, RARE, EXOTIC, MAGICAL, ALIEN - CREATURES)",,,,,WISE FOOL,POTTERY
,,,,,,ANAESTHETIST,,,,,,WISE MENTOR,PRAISE
,,,,,,RUGMAKER,,,,,,WISE OLD MAN,PRANKS
,,,,,,ROADLAYER/STREETLAYER,,,,,,WORKAHOLIC,PRESENTS
,,,,,,OIL RIG CREW,,,,,,YOUNGEST CHILD,PROGRAMMING
,,,,,,CURATOR,,,,,,,PSYCHOLOGY
,,,,,,FURRIER,,,,,,,PUBLIC SPEAKING
,,,,,,VETERINARIAN,,,,,,,PUNS
,,,,,,BOOKKEEPER,,,,,,,PUZZLES
,,,,,,CASHIER,,,,,,,PYROTECHNICS
,,,,,,MAGE,,,,,,,PYROTECHNICS / FIREWORKS
,,,,,,DOCTOR/PHYSICIAN,,,,,,,QUIET
,,,,,,FOWLER,,,,,,,QUILTING
,,,,,,FAIRGROUND WORKER,,,,,,,RAIN
,,,,,,SORCERER/SORCERESS,,,,,,,RECOGNITION
,,,,,,BLACKSMITH,,,,,,,REJECTION
,,,,,,EVENTS ORGANISER,,,,,,,RENAISSANCE
,,,,,,TRANSMUTER,,,,,,,REPAIRING ITEMS
,,,,,,BROADCASTER,,,,,,,REPETITION/ROUTINE
,,,,,,JEWELLER,,,,,,,RIDDLES
,,,,,,CLEANER,,,,,,,RIVERS
,,,,,,BREWER,,,,,,,ROAD TRIPS
,,,,,,PRIESTESS,,,,,,,ROBOTICS
,,,,,,STOCKBROKER,,,,,,,ROCK CLIMBING
,,,,,,CARAVANEER,,,,,,,SAILING
,,,,,,BANDIT,,,,,,,SAND CASTLES
,,,,,,COCKFIGHTER/GAME FIGHTER,,,,,,,SANDALWOOD
,,,,,,GARDENER,,,,,,,SANDCASTLES
,,,,,,DIRECTOR,,,,,,,SCARECROWS
,,,,,,LAWYER/ADVOCATE,,,,,,,SCARY MOVIES
,,,,,,ASSAYER,,,,,,,SCAVENGER HUNTS
,,,,,,SHAPESHIFTER,,,,,,,SCHOOL
,,,,,,LADY,,,,,,,SCORN
,,,,,,HATTER/MILLINER,,,,,,,SCRAPBOOKING
,,,,,,CASTELLAN,,,,,,,SCREAMING
,,,,,,COOK,,,,,,,SCULPTING
,,,,,,CONJUROR,,,,,,,SEAFOOD
,,,,,,SPYMASTER,,,,,,,SEASHELLS
,,,,,,CHEF OR COOK,,,,,,,SHARP OBJECTS
,,,,,,TRAIN CONDUCTOR,,,,,,,SHOES
,,,,,,EDITOR,,,,,,,SHOPPING
,,,,,,OPTICIAN,,,,,,,SHOWERS/BATHS
,,,,,,ART CRITIC,,,,,,,SINGING
,,,,,,ROYAL GUARD,,,,,,,SKATEBOARDING
,,,,,,RACING DRIVER,,,,,,,SKATING
,,,,,,EXORCIST,,,,,,,SKIING
,,,,,,INSTRUMENT MAKER,,,,,,,SMILES
,,,,,,BANKER,,,,,,,SMITHING
,,,,,,LIFEGUARD,,,,,,,SNAKES
,,,,,,PAWNBROKER,,,,,,,SNOBS
,,,,,,SOUL PIPER,,,,,,,SNORING
,,,,,,CULTIST,,,,,,,SNOW
,,,,,,SENATOR,,,,,,,SNOW GLOBES
,,,,,,ADMIRAL,,,,,,,SNOWBOARDING
,,,,,,INQUISITOR,,,,,,,SOAP CARVING
,,,,,,TAX INSPECTOR,,,,,,,SOAP MAKING
,,,,,,STEEPLEJACK,,,,,,,SOCIAL EVENTS
,,,,,,EQUILIBRIST,,,,,,,SPAS
,,,,,,PRIVATE INVESTIGATOR,,,,,,,SPIDERS
,,,,,,PATHOLOGIST,,,,,,,SPONTANEITY
,,,,,,PHARMACIST,,,,,,,SPORTS
,,,,,,SCOUT,,,,,,,STARRY NIGHTS
,,,,,,MAID,,,,,,,STATIONARY
,,,,,,SPORTSPERSON,,,,,,,STATUES
,,,,,,BOUNTY HUNTER,,,,,,,STEAMPUNK
,,,,,,BOTTLER,,,,,,,STONE/GRAVESTONE RUBBING
,,,,,,MESSENGER,,,,,,,STONE CRAFTING / STONE-CARVING
,,,,,,SUMMONER,,,,,,,STORM CHASING
,,,,,,CHOREOGRAPHER,,,,,,,STORYTELLING
,,,,,,PLASTERER,,,,,,,STRATEGY (IN GENERAL)
,,,,,,AIRCRAFT ENGINEER,,,,,,,STREET FAIRES
,,,,,,MARKET TRADER,,,,,,,STRONG SCENTS
,,,,,,CHOIRMASTER,,,,,,,STUFFED ANIMALS
,,,,,,PASTRY CHEF,,,,,,,STYROFOAM
,,,,,,RUNAWAY SLAVE,,,,,,,SUCCESS
,,,,,,CAREER CRIMINAL,,,,,,,SUDOKU
,,,,,,MACHINIST,,,,,,,SUN
,,,,,,GROUNDSKEEPER,,,,,,,SUNRISES OR SUNSETS
,,,,,,MONK,,,,,,,SURFING
,,,,,,GARDENER/LANDSCAPER,,,,,,,SURPRISES
,,,,,,LUTHIER,,,,,,,SWINGS
,,,,,,AUTHOR,,,,,,,TAROT
,,,,,,CREMATORIUM WORKER,,,,,,,TATTOOS
,,,,,,BANK CLERK,,,,,,,TEA
,,,,,,FLYING INSTRUCTOR,,,,,,,TEA SETS
,,,,,,PARK RANGER,,,,,,,TECHNOLOGY
,,,,,,SAGE,,,,,,,THE MOON
,,,,,,POLITICIAN,,,,,,,THE OCEAN
,,,,,,SHIP BUILDER,,,,,,,THE RISING SUN
,,,,,,ALDERMAN,,,,,,,THE STARS
,,,,,,PROSPECTOR,,,,,,,THE SUN
,,,,,,BREWERY WORKER,,,,,,,THUNDERSTORMS
,,,,,,OCEANOGRAPHER,,,,,,,"TIGHT, FITTED CLOTHING"
,,,,,,COSTUME DESIGNER,,,,,,,TOPIARIES
,,,,,,ROOFER,,,,,,,TRADITIONAL DISHES
,,,,,,BROOM MAKER,,,,,,,TRAINS
,,,,,,ILLUSIONIST,,,,,,,TRAVELING
,,,,,,HOMEOPATH,,,,,,,TREASURE HUNTING
,,,,,,ECONOMIST,,,,,,,TREES
,,,,,,TAILOR,,,,,,,TRUST-BUILDING EXERCISES
,,,,,,SERVANT,,,,,,,TULIPS
,,,,,,APOTHECARY,,,,,,,TUTORING
,,,,,,THUG,,,,,,,UGLY SWEATERS
,,,,,,TAILOR OR DRESSMAKER,,,,,,,UMBRELLAS/PARASOLS
,,,,,,STAGEHAND,,,,,,,URBAN EXPLORING
,,,,,,QUARTERMASTER,,,,,,,VIDEO GAMES
,,,,,,BOOKMAKER,,,,,,,VINTAGE STUFFS/DESIGNS
,,,,,,PARTY PLANNER,,,,,,,VINYL RECORDS
,,,,,,CARTOONIST,,,,,,,VIOLENCE
,,,,,,OPERATOR,,,,,,,VOLUNTEERING
,,,,,,ARCHBISHOP,,,,,,,WATER
,,,,,,SKALD,,,,,,,WEAPONS
,,,,,,DOORMAN,,,,,,,WESTERNS
,,,,,,FIRST MATE,,,,,,,WHINING
,,,,,,HERDER,,,,,,,WILDFLOWERS
,,,,,,SALESPERSON,,,,,,,WIND CHIMES
,,,,,,ACTOR,,,,,,,WINDOW-SHOPPING
,,,,,,SOAPER,,,,,,,WINE
,,,,,,GUARD,,,,,,,WINNING
,,,,,,THRIFT DEALER,,,,,,,WITCHCRAFT
,,,,,,INTERIOR DESIGNER,,,,,,,WOODCRAFTING
,,,,,,DEBT COLLECTOR,,,,,,,WOODWORKING
,,,,,,STREET ENTERTAINER,,,,,,,WORD PUZZLES
,,,,,,EXTORTIONER,,,,,,,WRITING
,,,,,,PSYCHIATRIST,,,,,,,YO-YOS
,,,,,,DRUG LORD,,,,,,,ZOOLOGY
,,,,,,PROSTITUTE,,,,,,,ZOOS
,,,,,,TRAFFIC WARDEN,,,,,,,
,,,,,,FASHION DESIGNER,,,,,,,
,,,,,,SPECULATOR,,,,,,,
,,,,,,CAMERA OPERATOR,,,,,,,
,,,,,,SINGER,,,,,,,
